cmc_rank,id,name,num_market_pairs,market_cap,slug,symbol,algo
85,1637,iExec RLC,17,44282536,rlc,RLC,Proof-of-Work
86,1230,Steem,33,43493670.57,steem,STEEM,Delegated Proof-of-Stake
87,1698,Horizen,34,41143310.78,horizen,ZEN,Proof-of-Work
88,4066,Chiliz,10,40406321.87,chiliz,CHZ,Proof-of-Work
89,3724,SOLVE,9,39607311.31,solve,SOLVE,N/A
90,3773,Fetch.ai,28,38788459.09,fetch,FET,Proof-of-Stake
91,2137,Electroneum,20,38059512.3,electroneum,ETN,Proof-of-Work
92,1759,Status,86,37978952.23,status,SNT,Proof-of-Work
93,2603,Pundi X,69,37221848.87,pundi-x,NPXS,Proof-of-Stake
94,2044,Enigma,27,36791148.38,enigma,ENG,Proof-of-Stake
95,1455,Golem,98,36440070.61,golem-network-tokens,GNT,Proof-of-Work
96,3617,ILCoin,26,36214606.42,ilcoin,ILC,Proof-of-Work
97,2447,Crypterium,9,36075210.6,crpt,CRPT,N/A
98,2772,Digitex Futures,7,35967337.09,digitex-futures,DGTX,N/A
99,1229,DigixDAO,27,35909146.59,digixdao,DGD,Proof-of-Provenance
100,2989,STASIS EURO,29,35235885.35,stasis-euro,EURS,Stablecoin
